Curriculum,LPSC - Psychology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,42.2799
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,PSC 001 General Psychology,PSC,001,"","","",4,,,2
2,STA 013 Elementary Statistics,STA,013,"","","",4,,,3
3,PSC 041 Research Meth in Psych,PSC,041,1,"","",4,,,4
4,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
5,PSC 168 Abnormal Psych,PSC,168,1;3,"","",4,,,8
6,PSC 151 Social Psychology,PSC,151,"","","",4,,,7
7,PSC 101 Intro to Bio Psych,PSC,101,1;3,"","",4,,,7
8,PSC 140 Developmental Psychology,PSC,140,1;3,"","",4,,,7
9,PSC 126 Health Psychology,PSC,126,1;3,"","",4,,,8
10,PSC 100 Cognitive Psychology,PSC,100,1;3,"","",4,,,7
