Curriculum,LSOC -  Sociology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.1101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,SOC 001 Intro Sociology,SOC,001,"","","",5,,,3
2,SOC 046A Intro Social Rsch,SOC,046A,"",1,"",4,,,5
3,SOC 056 Intro to Social Stats,SOC,056,"",2,"",5,,,0
4,SOC 003 Social Problems,SOC,003,"",3,"",4,,,4
5,PSC 001 General Psychology,PSC,001,"",4,"",4,,,2
6,SOC 004 Immigration,SOC,004,"",5,"",4,,,2
7,CHI 010 Intro Chicana/o Studies,CHI,010,"",6,"",4,,,4
8,SOC 100 Sociological Theory,SOC,100,"",7,"",4,,,9
9,SOC 131 The Family,SOC,131,"",8,"",4,,,8
10,SOC 140 Social Stratification,SOC,140,"",9,"",4,,,10
11,SOC 185 Social Policy,SOC,185,"",10,"",4,,,9
12,PSC 151 Social Psychology,PSC,151,"",11,"",4,,,8
13,SOC 150 Criminology,SOC,150,"",12,"",4,,,9
14,SOC 155 Sociology of Law,SOC,155,"",13,"",4,,,9
15,SOC 126 Social Interaction,SOC,126,"",14,"",4,,,10
16,SOC 130 Race Relations,SOC,130,"",15,"",4,,,9
17,SOC 132 Gender,SOC,132,"",16,"",4,,,9
18,SOC 151 The Criminal Justice Sys,SOC,151,"",17,"",4,,,8
