Curriculum,LSPA - Spanish (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0905
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,SPA 024 Spanish Composition II,SPA,024,13,"","",4,,,3
2,SPA 100 Principles Lit Criticism,SPA,100,1,"","",4,,,5
3,SPA 115 History Spanish Language,SPA,115,1,"","",4,,,7
4,SPA 142 Spec Top:Spanish Cul/Lit,SPA,142,2,"","",4,,,9
5,SPA 151 Latin Amer Lit 1900 Pres,SPA,151,2,"","",4,,,7
6,SPA 117 Spanish for Bilinguals,SPA,117,1,"","",4,,,8
7,SPA 198 Directed Gp Study,SPA,198,"","","",5,,,8
8,SPA 159 Topics in Lat Am Lit Cul,SPA,159,2,"","",4,,,8
9,SPA 111N Sounds & Words,SPA,111N,1,"","",3,,,7
10,SPA 174 Chicano Culture,SPA,174,1,"","",4,,,7
11,SPA 177 Calif & Latin America,SPA,177,1,"","",4,,,9
12,SPA 116 Applied Linguistics,SPA,116,1,"","",4,,,7
13,SPA 023 Spanish Composition I,SPA,023,14,"","",4,,,3
14,SPA 022 Intermediate Spanish,SPA,022,15,"","",5,,,2
15,SPA 021 Intermediate Spanish,SPA,021,16,"","",5,,,3
16,SPA 003 Elementary Spanish,SPA,003,17,"","",5,,,2
17,SPA 002 Elementary Spanish,SPA,002,18,"","",5,,,2
18,SPA 001 Elementary Spanish,SPA,001,"","","",5,,,1
