Curriculum,LNAS - Native American Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0202
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,NAS 133B Ethnohist MexCentAm 2000,NAS,133B,"","","",4,,,0
2,NAS 185 NA Lit Perform,NAS,185,"","","",4,,,0
3,NAS 184 Cont Mex Indigenous Lit,NAS,184,5,"","",4,,,0
4,NAS 188 Topics In Na Lit,NAS,188,"","","",4,,,10
5,NAS 001 Intro To NAS,NAS,001,"","","",4,,,1
6,NAS 010 N A Experience,NAS,010,"","","",4,,,4
7,NAS 005 Intro to NA Lit,NAS,005,"","","",4,,,2
8,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,7
9,NAS 130A NAS Ethno History,NAS,130A,"","","",4,,,9
10,NAS 157 NA Religion & Phil,NAS,157,"","","",4,,,11
11,NAS 180 NA Women,NAS,180,"","","",4,,,3
12,NAS 119 Intro Fed Indian Law,NAS,119,"","","",4,,,9
13,NAS 130C Nat Amer Ethno-Hist,NAS,130C,"","","",4,,,9
14,NAS 107 Learning Nat Am Langs,NAS,107,"","","",4,,,10
