Curriculum,LANT - Anthropology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.0201
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ANT 001 Human Evolutionary Bio,ANT,001,"","","",4,,,4
2,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3
3,ANT 003 Intro to Archaeology,ANT,003,"","","",4,,,4
4,ANT 015 Human Life Cycle,ANT,015,"","","",5,,,4
5,STA 013 Elementary Statistics,STA,013,"","","",4,,,4
6,ANT 154A Primate Socioecol,ANT,154A,"","","",5,,,7
7,ANT 153 Hum Genetics: Mut & Mig,ANT,153,17,"","",5,,,8
8,ANT 180 Zooarcheology,ANT,180,"","","",4,,,11
9,ANT 100 Soc-Cultural Theory,ANT,100,"","","",4,,,8
10,ANT 152 Human Evolution,ANT,152,"","","",5,,,8
11,ANT 151 Primate Evolution,ANT,151,"","","",4,,,6
12,ANT 156A Human Osteology,ANT,156A,"","","",4,,,9
13,ANT 158 The Evolution of Sex,ANT,158,"","","",4,,,10
14,"ANT 101 Ecology, Nature, Society",ANT,101,"","","",4,,,9
15,ANT 141C People of the Arctic,ANT,141C,"","","",4,,,10
16,ANT 128A Kinship & Social Org,ANT,128A,"","","",4,,,7
17,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4
