Curriculum,BBIS - Biological Sciences (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,26.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4
2,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
3,BIS 002C Introduction to Biology,BIS,002C,1,"","",5,,,5
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,2
6,CHE 118A Organic Chem Health Sci,CHE,118A,23,"","",4,,,4
7,CHE 118B Organic Chem Health Sci,CHE,118B,6,"","",4,,,6
8,CHE 118C Organic Chem Health Sci,CHE,118C,7,"","",4,,,7
9,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1
10,MAT 017B Calculus for BioSci,MAT,017B,9,"","",4,,,2
11,PHY 007A General Physics,PHY,007A,"",10,"",4,,,6
12,PHY 007B General Physics,PHY,007B,11,"","",4,,,7
13,PHY 007C General Physics,PHY,007C,12,"","",4,,,8
14,BIS 101 Genes & Gene Expression,BIS,101,2;1;6;17,"","",4,,,7
15,BIS 102 Struc & Func Biomolecule,BIS,102,2;7,"","",3,,,8
16,BIS 103 Bioenergetics/Metabolism,BIS,103,15,"","",3,,,9
17,STA 100 Applied Stat for Bio Sci,STA,100,10,"","",4,,,5
18,EVE 100 Intro to Evolution,EVE,100,2;1;3;9;10,"","",4,,,10
19,EVE 101 Introduction to Ecology,EVE,101,2;1;3;9;10,"","",4,,,9
20,MIC 102 Intro Microbiology,MIC,102,2,5,"",4,,,9
21,BIS 104 Cell Biology,BIS,104,14;15,"","",3,,,10
22,PLB 112 Plant Growth & Develop,PLB,112,2;1;3;7;14,"","",3,,,11
23,CHE 002C General Chemistry,CHE,002C,5,"","",5,,,3
