Curriculum,LENL - English (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,23.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ENL 003 Intro To Literature,ENL,003,"","","",4,,,1,0.43345203183912867,0.4485798072894847,2387,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""D"", ""I"", ""D-"", ""RD"", ""B+"", ""A""]"
2,ENL 044 Intro Topics in Fiction,ENL,044,1,"","",4,,,3,0.6733333333333333,0.410952380952381,42,202107,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""F"", ""NP*"", ""P*""]"
3,ENL 010A Lit in English I,ENL,010A,1,"","",4,,,2,0.17561403508771933,0.09666666666666669,228,202201,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,ENL 010B Lit in English II,ENL,010B,1,"","",4,,,3,-0.09635944700460827,-0.15069124423963132,217,202201,200901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,ENL 010C Lit in English III,ENL,010C,1,"","",4,,,4,0.3452803738317757,0.31836448598130845,214,202110,200903,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""F"", ""NG"", ""NP*"", ""P*""]"
6,ENL 110B Intr Modern Lit & Theory,ENL,110B,1,"","",4,,,6,-0.26339999999999997,-0.33159999999999995,50,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""F"", ""I"", ""P*""]"
7,ENL 117 Shakespeare,ENL,117,1,"","",4,,,8,0.1450409836065574,-0.03971311475409834,244,202110,200910,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,ENL 111 Topics in Medieval Lit,ENL,111,1,"","",4,,,8,-0.2942990654205607,-0.32934579439252337,107,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
9,ENL 158A American Novel to 1900,ENL,158A,1,"","",4,,,7,0.3298795180722892,0.11409638554216871,83,202010,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D-"", ""D+"", ""I"", ""NP*"", ""P*"", ""Y""]"
10,ENL 156 The Short Story,ENL,156,1,"","",4,,,7,-0.15818181818181817,-0.27113636363636356,132,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
11,ENL 166 Love Contemp Amer Poetry,ENL,166,1,"","",4,,,6,0.2781012658227848,-0.041139240506329104,79,202107,200110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
12,ENL 180 Children's Lit,ENL,180,1,"","",4,,,8,0.05657608695652176,0.023695652173913066,184,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
13,ENL 149 Topics in Literature,ENL,149,1,"","",4,,,9,0.10353293413173652,-0.00029940119760480267,167,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.13296694092883538,0.019110016913797864
