Curriculum,LLIN - Linguistics (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0102
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,LIN 001 Intro Linguistics,LIN,001,"","","",4,,,2,0.10367759944173065,0.08463363572923936,1433,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""NG"", ""B+"", ""A""]"
2,ARB 001 Elem Arabic 1,ARB,001,"","","",5,,,2,0.5959493670886076,0.5789240506329114,158,202110,200610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
3,LIN 103A Linguistic Analysis I,LIN,103A,"","","",4,,,6,0.2182608695652174,0.09504347826086958,230,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*""]"
4,LIN 103B Linguistic Analysis II,LIN,103B,"","","",4,,,6,-0.10306122448979588,-0.043979591836734666,98,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
5,LIN 111 Intro Phono Theory,LIN,111,"","","",4,,,8,0.28545454545454546,0.2630909090909091,110,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""P*""]"
6,LIN 131 Intro Syntax Theory,LIN,131,"","","",4,,,9,-0.3555172413793103,-0.5710344827586207,87,202101,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
7,LIN 112 Phonetics,LIN,112,"","","",4,,,7,0.55,0.2913861386138614,101,202010,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""NP*"", ""P*"", ""Y""]"
8,LIN 141 Semantics,LIN,141,"","","",4,,,10,0.16940000000000002,-0.011999999999999964,100,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""I"", ""NP*"", ""P*""]"
9,LIN 121 Morphology,LIN,121,"","","",4,,,9,0.06304347826086956,-0.3826086956521739,23,202010,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C-"", ""C+"", ""P*""]"
10,LIN 165 Applied Linguistics,LIN,165,"","","",4,,,10,-0.2275757575757576,-0.2542424242424243,33,202201,200401,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""I"", ""P*""]"
11,LIN 173 Language Development,LIN,173,1,"","",4,,,10,0.4835443037974684,0.15746835443037974,79,202110,200301,"[""A"", ""A-"", ""B-"", ""B+"", ""C+"", ""I""]"
12,LIN 106 English Grammar,LIN,106,1,"","",4,,,7,0.3287931034482759,0.16189655172413792,58,202201,200110,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""F"", ""NP*"", ""P*"", ""RW""]"
13,LIN 105 Topics in Lang & Ling,LIN,105,"","","",4,,,6,0.21024390243902438,0.027073170731707348,41,202101,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*""]"
Overall Average,"","","","","","","","","","",0.17863176508083656,0.030434699594158635
