Curriculum,LFRE - French (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0901
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,FRE 023 Intermed French,FRE,023,13,"","",5,,,4,0.005106382978723433,0.01574468085106386,47,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""D+"", ""F"", ""P*"", ""Y""]"
2,FRE 100 Comp In French,FRE,100,1,"","",4,,,5,0.23617647058823532,0.2064705882352942,34,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+"", ""I"", ""NP*""]"
3,FRE 141 Selected Topics Fr Lit,FRE,141,2,"","",4,,,9,0.2967741935483872,0.08709677419354848,31,202103,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""I"", ""NP*"", ""P*""]"
4,FRE 115 Medieval French Lit/Soc,FRE,115,2,"","",4,,,11,0.4042857142857143,0.3647619047619048,21,202201,200010,"[""A"", ""A-"", ""A+""]"
5,FRE 117B Classical Moment,FRE,117B,2,"","",4,,,8,0.3715789473684211,0.09684210526315795,19,202010,200403,"[""A"", ""A-"", ""B"", ""NP*"", ""P*""]"
6,FRE 128 Topics Fr Cult,FRE,128,2,"","",4,,,11,0.3996,0.2528,25,202103,200710,"[""A"", ""A-"", ""A+"", ""B-"", ""B+"", ""I"", ""NP*"", ""P*""]"
7,FRE 107B Making of Modern France,FRE,107B,1,"","",4,,,8,0.15846153846153846,0.37846153846153846,13,202201,201201,"[""A"", ""A-"", ""B+"", ""C-"", ""C+"", ""P*""]"
8,FRE 109 French Phonetics,FRE,109,1,"","",4,,,7,0.37193548387096775,0.19161290322580649,31,202110,200501,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""P*""]"
9,FRE 105 Advanced French Grammar,FRE,105,1,"","",4,,,9,-0.14299999999999996,-0.145,20,202201,200510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""P*""]"
10,FRE 108 Mod French Culture,FRE,108,1,"","",4,,,7,0.382,0.3308,25,202110,200103,"[""A"", ""A-"", ""B+"", ""P*""]"
11,FRE 161 Ling French Form & Mean,FRE,161,2,"","",4,,,9,0.29473684210526313,0.12842105263157902,19,202101,200603,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+""]"
12,FRE 118A Age of Reason & Revltion,FRE,118A,2,"","",4,,,9,0.07749999999999999,-0.26416666666666666,24,202003,200201,"[""A"", ""A-"", ""A+"", ""B+"", ""C-"", ""F"", ""P*""]"
13,FRE 022 Intermed French,FRE,022,14,"","",5,,,3,0.0632075471698113,0.07000000000000003,53,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""P*""]"
14,FRE 021 Intermed French,FRE,021,15,"","",5,,,2,-0.15879999999999997,-0.12759999999999996,50,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""NP*"", ""P*""]"
15,FRE 003 Elementary French,FRE,003,16,"","",5,,,2,-0.2125352112676056,-0.30429577464788726,142,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
16,FRE 002 Elementary French,FRE,002,17,"","",5,,,1,-0.1389047619047619,-0.15252380952380953,210,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
17,FRE 001 Elementary French,FRE,001,"","","",5,,,1,-0.062055555555555565,-0.10116666666666667,180,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
Overall Average,"","","","","","","","","","",0.13800397597936115,0.06048580177169785
