Curriculum,LPHI - Philosophy (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,38.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,PHI 015 Intro to Bioethics,PHI,015,"","","",4,,,7,0.5604166666666667,0.4351666666666667,240,202105,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""D-"", ""F"", ""I"", ""NP*""]"
2,PHI 038 Intro Philosophy of Biol,PHI,038,"","","",4,,,5,0.5489795918367347,0.46869387755102043,245,202201,200301,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
3,PHI 024 Introduction to Ethics,PHI,024,"","","",4,,,6,0.19471428571428576,0.0031428571428571677,70,202201,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
4,PHI 121 Bioethics,PHI,121,"","","",4,,,9,0.27263157894736845,0.036140350877192993,57,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
5,PHI 107 Phil Of Phys Sci,PHI,107,"","","",4,,,10,-0.08799999999999993,-0.24433333333333326,30,202010,200510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""NP*"", ""P*""]"
6,PHI 117 Foundation of Ethics,PHI,117,"","","",4,,,10,0.01435483870967741,-0.10951612903225805,62,202201,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,PHI 137C Semantics & Pragmatics,PHI,137C,"","","",4,,,9,-0.25226415094339627,-0.25528301886792454,53,202110,200803,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""F"", ""I"", ""NG"", ""P*""]"
8,PHI 131 Philos Logic & Math,PHI,131,13,"","",4,,,8,0.44800000000000006,0.274,20,202101,200410,"[""A"", ""A-"", ""A+"", ""B+"", ""NP*""]"
9,PHI 114 History of Ethics,PHI,114,"","","",4,,,10,-0.1371052631578947,-0.2573684210526316,38,202010,200305,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D-"", ""I"", ""P*""]"
10,PHI 175 Kant,PHI,175,"","","",4,,,11,-0.2673214285714286,-0.4171428571428572,56,202201,200303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
11,PHI 111 Space & Time,PHI,111,"","","",4,,,11,-0.06636363636363636,-0.07818181818181819,22,202103,200210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""D+"", ""NP*"", ""P*""]"
12,PHI 001 Intro To Philos,PHI,001,"","","",4,,,2,0.28916398713826363,0.325048231511254,622,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""D-"", ""B+"", ""A""]"
13,PHI 012 Intro to Symbol Logic,PHI,012,"","","",4,,,5,-0.12615664845173044,-0.2105646630236794,549,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
14,PHI 112 Intermed Symbolic Logic,PHI,112,13,"","",4,,,8,-0.11790983606557376,-0.2795901639344262,244,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
15,PHI 102 Theory of Knowledge,PHI,102,"","","",4,,,9,0.1814492753623189,0.14420289855072468,69,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
16,PHI 119 Philosophy Of Law,PHI,119,"","","",4,,,9,0.29121495327102803,0.08813084112149534,107,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
17,PHI 101 Metaphysics,PHI,101,"","","",4,,,9,-0.04054945054945051,-0.06813186813186811,91,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
