Curriculum,LNAS - Native American Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0202
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,NAS 108 Languages of California,NAS,108,"","","",4,,,5,0.1512500000000001,0.275,16,202101,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""I"", ""NP*"", ""P*""]"
2,NAS 125 NA Performance & Culture,NAS,125,"","","",4,,,7,0.3666666666666667,0.3225925925925926,54,202101,200301,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""P*""]"
3,NAS 161 CA Indian Envirn Polcy I,NAS,161,"","","",4,,,10,0.42772727272727273,0.04590909090909092,22,202103,201301,"[""A"", ""A-"", ""A+"", ""B+"", ""C+"", ""D"", ""F"", ""I"", ""P*""]"
4,CHI 110 The Chicano Experience,CHI,110,9,"","",4,,,0,0.7093790849673203,0.47552287581699343,306,202110,200210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""D+"", ""F"", ""I""]"
5,NAS 192 Internship,NAS,192,"","","",6,,,6,,,2,202103,201103,"[""P""]"
6,NAS 001 Intro To NAS,NAS,001,"","","",4,,,1,0.28332493702770783,0.28463476070528965,397,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,NAS 010 N A Experience,NAS,010,"","","",4,,,4,0.32333333333333336,0.19842592592592592,108,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""P*"", ""RW""]"
8,NAS 005 Intro to NA Lit,NAS,005,"","","",4,,,2,0.530788643533123,0.5103785488958991,634,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
9,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,7,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
10,NAS 130A NAS Ethno History,NAS,130A,"","","",4,,,9,0.5541463414634146,0.37682926829268293,41,202010,200010,"[""A"", ""A-"", ""B-"", ""B+"", ""C"", ""C-"", ""I"", ""P*""]"
11,NAS 157 NA Religion & Phil,NAS,157,"","","",4,,,11,0.6117241379310344,0.48241379310344834,29,202101,200201,"[""A"", ""A-"", ""A+"", ""B+"", ""C"", ""F"", ""NP*"", ""P*""]"
12,NAS 180 NA Women,NAS,180,"","","",4,,,3,0.34121212121212124,0.1554545454545455,33,202107,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F""]"
13,NAS 119 Intro Fed Indian Law,NAS,119,"","","",4,,,9,0.6375,0.2475,36,202103,201110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""NP*"", ""P*""]"
14,NAS 130C Nat Amer Ethno-Hist,NAS,130C,"","","",4,,,9,0.4245,0.08849999999999998,40,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
15,NAS 107 Learning Nat Am Langs,NAS,107,"","","",4,,,10,0.6231578947368421,0.6618421052631579,38,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""NP*""]"
Overall Average,"","","","","","","","","","",0.4404149253001684,0.31753223296345395
