Curriculum,LCHN - Chinese (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0301
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,CHN 006 Intermed Chinese,CHN,006,12,"","",5,,,6,-0.365,-0.4936666666666667,30,202103,200103,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""P*""]"
2,CHN 106 Chn Poetry (Engl),CHN,106,"","","",4,,,6,0.5103092783505155,0.155979381443299,97,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*""]"
3,CHN 107 Trad Fiction (Engl),CHN,107,"","","",4,,,7,-0.6953846153846155,-0.7046153846153846,26,202201,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
4,CHN 114 Intro Classical Chinese,CHN,114,8,"","",4,,,8,0.24666666666666673,0.08102564102564104,39,202110,200010,"[""A"", ""A-"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""P*""]"
5,CHN 160 Chinese Language,CHN,160,"",1,"",4,,,7,0.4966666666666667,0.2266666666666667,33,202201,200601,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C-"", ""F"", ""P*""]"
6,CHN 104 Mod Chinese Fict (Engl),CHN,104,"","","",4,,,7,-0.058749999999999976,-0.12374999999999997,48,202010,200210,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""NP*"", ""P*""]"
7,CHN 113 Mod Chinese/Rdng & Disc,CHN,113,8,"","",4,,,9,0.47323529411764703,0.20588235294117643,34,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""P*""]"
8,CHN 112 Mod Chinese/Rdg & Dis,CHN,112,9,"","",4,,,8,0.12631578947368424,-0.09473684210526319,19,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F""]"
9,CHN 111 Mod Chn/Rdg & Dis,CHN,111,1,"","",4,,,7,-0.3322727272727273,-0.3877272727272727,22,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""P*""]"
10,CHN 120 Advanced Chinese,CHN,120,7,"","",4,,,4,0.389344262295082,0.2178688524590164,61,202201,200110,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""NP*"", ""P*""]"
11,CHN 103 Modern Chinese Drama,CHN,103,"","","",4,,,8,-0.08375000000000002,-0.52515625,64,202103,200510,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""NP*"", ""P*""]"
12,CHN 005 Intermediate Chinese,CHN,005,"","","",5,,,5,-0.21358490566037744,-0.21905660377358493,53,202201,200101,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""P*""]"
Overall Average,"","","","","","","","","","",0.04114964243771183,-0.13844051044603103
