Curriculum,LPHI - Philosophy (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,38.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,PHI 001 Intro To Philos,PHI,001,"","","",4,,,2,0.28916398713826363,0.325048231511254,622,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""D-"", ""B+"", ""A""]"
2,PHI 012 Intro to Symbol Logic,PHI,012,"","","",4,,,5,-0.12615664845173044,-0.2105646630236794,549,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
3,PHI 112 Intermed Symbolic Logic,PHI,112,2,"","",4,,,8,-0.11790983606557376,-0.2795901639344262,244,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
4,PHI 102 Theory of Knowledge,PHI,102,"","","",4,,,9,0.1814492753623189,0.14420289855072468,69,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
5,PHI 119 Philosophy Of Law,PHI,119,"","","",4,,,9,0.29121495327102803,0.08813084112149534,107,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
6,PHI 101 Metaphysics,PHI,101,"","","",4,,,9,-0.04054945054945051,-0.06813186813186811,91,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,PHI 118 Political Philosophy,PHI,118,"","","",4,,,7,0.15080645161290324,0.14161290322580647,62,202110,200507,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+""]"
8,PHI 105 Phil Of Religion,PHI,105,"","","",4,,,10,0.3427722772277228,0.30277227722772276,101,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,PHI 116 Ethical Theories,PHI,116,"","","",4,,,10,-0.020666666666666673,-0.163,60,202110,200301,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""F"", ""NP*"", ""P*""]"
10,PHI 103 Philosophy Of Mind,PHI,103,"","","",4,,,11,0.3402739726027397,0.23465753424657532,146,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NG"", ""P*""]"
11,PHI 108 Philosophy of Biology,PHI,108,"","","",4,,,8,0.4864615384615385,0.5201538461538462,65,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.16153271399482666,0.09411743972249555
