Curriculum,LSPA - Spanish (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0905
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,SPA 024 Spanish Composition II,SPA,024,13,"","",4,,,3,0.4503083700440529,0.5356828193832599,227,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*"", ""RW""]"
2,SPA 100 Principles Lit Criticism,SPA,100,1,"","",4,,,5,0.418433734939759,0.39283132530120485,166,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F""]"
3,SPA 115 History Spanish Language,SPA,115,1,"","",4,,,7,0.40980392156862744,0.2361764705882353,102,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,SPA 142 Spec Top:Spanish Cul/Lit,SPA,142,2,"","",4,,,9,0.45875,0.5402272727272727,88,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+"", ""F"", ""P*""]"
5,SPA 151 Latin Amer Lit 1900 Pres,SPA,151,2,"","",4,,,7,0.531219512195122,0.3464634146341463,164,202201,200907,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""P*""]"
6,SPA 117 Spanish for Bilinguals,SPA,117,1,"","",4,,,8,0.42126760563380283,0.42056338028169016,71,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""D+"", ""NP*""]"
7,SPA 198 Directed Gp Study,SPA,198,"","","",5,,,8,,,18,202203,200106,"["""", ""NP"", ""P""]"
8,SPA 159 Topics in Lat Am Lit Cul,SPA,159,2,"","",4,,,8,0.575748031496063,0.3045669291338583,127,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,SPA 111N Sounds & Words,SPA,111N,1,"","",3,,,7,0.14130081300813005,0.055121951219512196,123,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""P*""]"
10,SPA 174 Chicano Culture,SPA,174,1,"","",4,,,7,0.3995833333333334,0.2969047619047619,168,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D+"", ""F"", ""I"", ""P*""]"
11,SPA 177 Calif & Latin America,SPA,177,1,"","",4,,,9,0.4165384615384615,0.21692307692307694,182,202003,200903,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
12,SPA 116 Applied Linguistics,SPA,116,1,"","",4,,,7,0.3718518518518519,0.19792592592592592,135,202010,200101,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""P*""]"
13,SPA 023 Spanish Composition I,SPA,023,14,"","",4,,,3,0.5650000000000001,0.6812376237623763,202,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""D-"", ""F"", ""NP*"", ""P*"", ""RW""]"
14,SPA 022 Intermediate Spanish,SPA,022,15,"","",5,,,2,0.4400645161290323,0.519483870967742,155,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D+"", ""F"", ""I"", ""P*""]"
15,SPA 021 Intermediate Spanish,SPA,021,16,"","",5,,,3,0.5362142857142858,0.5475,140,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
16,SPA 003 Elementary Spanish,SPA,003,17,"","",5,,,2,0.19397058823529412,0.14973856209150327,612,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
17,SPA 002 Elementary Spanish,SPA,002,18,"","",5,,,2,0.3114475627769572,0.24738552437223046,677,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
18,SPA 001 Elementary Spanish,SPA,001,"","","",5,,,1,0.44166666666666665,0.34927083333333336,192,202201,200010,"[""B"", ""NP*"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""D"", ""I"", ""B+"", ""A""]"
Overall Average,"","","","","","","","","","",0.3935094030628578,0.3354446523638961
