Curriculum,LANT - Anthropology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.0201
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ANT 001 Human Evolutionary Bio,ANT,001,"","","",4,,,4,0.01257362355953906,-0.08713188220230474,781,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
2,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
3,ANT 003 Intro to Archaeology,ANT,003,"","","",4,,,4,0.15024793388429752,0.08286501377410468,363,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,"ANT 032 Drugs, Science & Culture",ANT,032,"","","",4,,,5,0.40915151515151515,0.3586060606060606,330,202110,200603,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
5,ANT 015 Human Life Cycle,ANT,015,"","","",5,,,4,0.33320945945945946,0.2590202702702703,296,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""P*""]"
6,STA 013 Elementary Statistics,STA,013,"","","",4,,,4,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
7,ANT 100 Soc-Cultural Theory,ANT,100,"","","",4,,,8,0.12476190476190473,-0.01761904761904763,63,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""I"", ""NP*"", ""P*""]"
8,ANT 152 Human Evolution,ANT,152,"","","",5,,,8,0.10301675977653632,0.11150837988826814,179,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
9,ANT 153 Hum Genetics: Mut & Mig,ANT,153,18,"","",5,,,8,-0.28727272727272724,-0.40340909090909083,88,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
10,ANT 154A Primate Socioecol,ANT,154A,"","","",5,,,7,0.5705000000000001,0.5333333333333333,120,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D-"", ""NP*"", ""P*""]"
11,ANT 151 Primate Evolution,ANT,151,"","","",4,,,6,0.024134615384615424,-0.11028846153846149,104,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
12,ANT 156A Human Osteology,ANT,156A,"","","",4,,,9,-0.12041666666666669,-0.29291666666666666,24,202110,200903,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""NP*"", ""P*""]"
13,ANT 121 Medical Anthropology,ANT,121,"","","",4,,,7,0.4524675324675325,0.3615584415584416,77,202105,201103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
14,ANT 132 Psychological Anthro,ANT,132,"","","",4,,,9,0.3215454545454546,0.20009090909090912,110,202110,200510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
15,ANT 144 Latin America,ANT,144,"","","",4,,,8,0.6197520661157024,0.3278512396694215,121,202101,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""NP*"", ""P*""]"
16,ANT 124 Religion in Soc & Cultr,ANT,124,"","","",4,,,7,-0.011555555555555541,-0.04377777777777773,45,202010,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""D-"", ""NG"", ""P*""]"
17,ANT 140B East & South Africans,ANT,140B,"","","",4,,,7,0.2380952380952382,0.24523809523809526,42,202110,200310,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""P*""]"
18,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
Overall Average,"","","","","","","","","","",0.14120180946013733,0.06024536546257818
