Curriculum,LDRA - Dramatic Art (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,50.0501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,DRA 021A Fundamentals of Act,DRA,021A,"","","",4,,,0,0.5456363636363636,0.45618181818181813,55,202201,200010,"[""A"", ""A-"", ""A+"", ""B-"", ""B+"", ""C+"", ""I""]"
2,DRA 028 Stagecraft & Management,DRA,028,"","","",4,,,0,0.5057534246575343,0.4045205479452055,73,202110,201503,"[""A"", ""A-"", ""B"", ""B+"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
3,DRA 055 Cont Theatre Dance Perf,DRA,055,"","","",4,,,0,0.19113207547169808,0.16415094339622643,53,202101,201603,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C-"", ""C+"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
4,DRA 056A Hist Theatre Dance I,DRA,056A,"","","",4,,,0,0.13324675324675328,0.05415584415584418,77,202010,201510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""P*""]"
5,DRA 056B Hist Theatre Dance II,DRA,056B,"","","",4,,,0,-0.1433333333333333,-0.1442857142857143,42,202110,201501,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""D-"", ""P*"", ""Y""]"
6,DRA 056C Hist Theatre Dance III,DRA,056C,"","","",4,,,0,0.16292682926829272,0.12585365853658537,41,202103,201503,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
7,DRA 158 Performance Studies Sem,DRA,158,"","","",4,,,0,0.3769565217391304,0.18869565217391307,23,202101,200603,"[""A"", ""A-"", ""A+"", ""B+"", ""C""]"
8,DRA 155A Afram Dance & Culture,DRA,155A,"","","",4,,,0,0.20682926829268294,-0.036585365853658534,41,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,DRA 126 Stage Management,DRA,126,"","","",4,,,0,0.09064516129032257,0.08677419354838711,31,202110,200401,"[""A"", ""A+"", ""B"", ""C""]"
10,DRA 120 Acting Gateway,DRA,120,1,"","",4,,,0,0.31437499999999996,0.3075,16,202110,201401,"[""A"", ""A-"", ""A+""]"
11,DRA 140A Dance Composition I,DRA,140A,20,"","",4,,,0,0.4281250000000001,0.366875,16,202201,200101,"[""A"", ""A-"", ""B-"", ""B+"", ""C""]"
12,DRA 124D Thea Desgn Costume,DRA,124D,"","","",4,,,0,0.20393939393939395,0.11393939393939395,33,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""I""]"
13,DRA 124C Thea Desgn Lighting,DRA,124C,"","","",4,,,0,0.3668181818181818,0.20818181818181822,22,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
14,DRA 145 Directed Choreogrph Proj,DRA,145,11,"","",4,,,0,0.4799999999999999,0.29545454545454547,11,202201,200101,"[""A"", ""A-"", ""A+"", ""P*""]"
15,DRA 180A Theatre Lab: Performance,DRA,180A,"","","",5,,,0,0.5666666666666667,0.6471428571428571,21,202201,201510,"[""A"", ""A+""]"
16,DRA 180D Theatre Lab Crew,DRA,180D,"","","",4,,,0,0.341,0.25566666666666665,30,202201,201510,"[""A"", ""A-"", ""A+"", ""C""]"
17,DRA 180G Lighting/Sound Lab,DRA,180G,"","","",4,,,0,0.5966666666666667,0.3775000000000001,12,202201,201510,"[""A"", ""B""]"
18,DRA 180E Scenic Lab,DRA,180E,"","","",4,,,0,0.45333333333333337,0.45250000000000007,12,202201,201510,"[""A"", ""D-"", ""I""]"
19,DRA 195 Senior Capstone,DRA,195,"","","",2,,,0,,,38,202201,201603,"[""NP"", ""P""]"
20,DRA 040A Beginning Modern Dance,DRA,040A,"","","",2,,,0,0.7710714285714286,0.6769285714285714,140,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.3295894367632558,0.250057521530623
