Curriculum,LNAS - Native American Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0202
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,NAS 110A Quechua Beginning 1,NAS,110A,"","","",4,,,0,0.2744444444444445,0.3483333333333334,18,202201,200901,"[""A"", ""A-"", ""B"", ""B-"", ""P*""]"
2,NAS 110B Quechua Beginning 2,NAS,110B,1,"","",4,,,0,0.5033333333333334,0.2233333333333333,3,202003,200910,"[""A""]"
3,HIS 165 Latin Amer Soc Rev,HIS,165,"","","",4,,,0,0.11486486486486491,-0.07891891891891889,74,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,AAS 107A Africans in Latin Americ,AAS,107A,"","","",4,,,0,0.4545714285714286,0.3026666666666667,105,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,HIS 163B History Of Brazil,HIS,163B,"","","",4,,,0,0.1705555555555556,0.08666666666666667,18,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""NP*"", ""P*""]"
6,NAS 001 Intro To NAS,NAS,001,"","","",4,,,1,0.28332493702770783,0.28463476070528965,397,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,NAS 010 N A Experience,NAS,010,"","","",4,,,4,0.32333333333333336,0.19842592592592592,108,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""P*"", ""RW""]"
8,NAS 005 Intro to NA Lit,NAS,005,"","","",4,,,2,0.530788643533123,0.5103785488958991,634,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
9,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,7,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
10,NAS 130A NAS Ethno History,NAS,130A,"","","",4,,,9,0.5541463414634146,0.37682926829268293,41,202010,200010,"[""A"", ""A-"", ""B-"", ""B+"", ""C"", ""C-"", ""I"", ""P*""]"
11,NAS 157 NA Religion & Phil,NAS,157,"","","",4,,,11,0.6117241379310344,0.48241379310344834,29,202101,200201,"[""A"", ""A-"", ""A+"", ""B+"", ""C"", ""F"", ""NP*"", ""P*""]"
12,NAS 180 NA Women,NAS,180,"","","",4,,,3,0.34121212121212124,0.1554545454545455,33,202107,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F""]"
13,NAS 119 Intro Fed Indian Law,NAS,119,"","","",4,,,9,0.6375,0.2475,36,202103,201110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""NP*"", ""P*""]"
14,NAS 130C Nat Amer Ethno-Hist,NAS,130C,"","","",4,,,9,0.4245,0.08849999999999998,40,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
15,NAS 107 Learning Nat Am Langs,NAS,107,"","","",4,,,10,0.6231578947368421,0.6618421052631579,38,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""NP*""]"
Overall Average,"","","","","","","","","","",0.43126469879405954,0.30173600108094756
