Curriculum,LANT - Anthropology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.0201
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ANT 001 Human Evolutionary Bio,ANT,001,"","","",4,,,4,0.01257362355953906,-0.08713188220230474,781,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
2,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
3,ANT 003 Intro to Archaeology,ANT,003,"","","",4,,,4,0.15024793388429752,0.08286501377410468,363,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,ANT 015 Human Life Cycle,ANT,015,"","","",5,,,4,0.33320945945945946,0.2590202702702703,296,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""P*""]"
5,STA 013 Elementary Statistics,STA,013,"","","",4,,,4,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,ANT 154A Primate Socioecol,ANT,154A,"","","",5,,,7,0.5705000000000001,0.5333333333333333,120,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D-"", ""NP*"", ""P*""]"
7,ANT 153 Hum Genetics: Mut & Mig,ANT,153,17,"","",5,,,8,-0.28727272727272724,-0.40340909090909083,88,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
8,ANT 180 Zooarcheology,ANT,180,"","","",4,,,11,0.4157777777777778,0.08266666666666667,45,202101,200303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D+"", ""F"", ""I""]"
9,ANT 100 Soc-Cultural Theory,ANT,100,"","","",4,,,8,0.12476190476190473,-0.01761904761904763,63,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""I"", ""NP*"", ""P*""]"
10,ANT 152 Human Evolution,ANT,152,"","","",5,,,8,0.10301675977653632,0.11150837988826814,179,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
11,ANT 151 Primate Evolution,ANT,151,"","","",4,,,6,0.024134615384615424,-0.11028846153846149,104,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
12,ANT 156A Human Osteology,ANT,156A,"","","",4,,,9,-0.12041666666666669,-0.29291666666666666,24,202110,200903,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""NP*"", ""P*""]"
13,ANT 158 The Evolution of Sex,ANT,158,"","","",4,,,10,0.3688888888888889,0.15493827160493828,81,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
14,"ANT 101 Ecology, Nature, Society",ANT,101,"","","",4,,,9,0.4303571428571428,0.10595238095238095,84,202103,200201,"[""B"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""C-"", ""D"", ""I"", ""B+"", ""A""]"
15,ANT 141C People of the Arctic,ANT,141C,"","","",4,,,10,0.2830612244897959,0.13693877551020414,49,202010,201210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""C"", ""D+"", ""F"", ""NP*""]"
16,ANT 128A Kinship & Social Org,ANT,128A,"","","",4,,,7,0.23,0.28489361702127664,47,202201,200303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D"", ""D-"", ""P*""]"
17,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
Overall Average,"","","","","","","","","","",0.13178007961624646,0.02354348951157199
