Curriculum,LRST - Religious Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,38.0201
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,RST 001G Myth Ritual Symbol,RST,001G,"","","",4,,,7,0.33179012345679015,0.29901234567901236,162,202201,200910,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
2,RST 040 New Testament,RST,040,"","","",4,,,3,0.08000000000000002,0.11444444444444446,27,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""P*""]"
3,RST 060 Intro to Islam,RST,060,"","","",4,,,2,0.7202994011976047,0.6813173652694611,167,202110,200010,"[""A"", ""A+"", ""B"", ""B+"", ""C"", ""D+"", ""F"", ""NP*"", ""P*""]"
4,RST 010 Ethics Issues,RST,010,"","","",2,,,4,0.2882490272373541,0.269727626459144,257,202110,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""P*""]"
5,RST 030 South Asian Religions,RST,030,"","","",4,,,4,0.34675675675675677,0.2894594594594595,74,202110,200901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
6,RST 012 Abrahamic Religions,RST,012,"","","",4,,,4,0.518695652173913,0.3989130434782609,46,202101,201201,"[""A"", ""A-"", ""A+"", ""B-"", ""B+"", ""C-"", ""F"", ""NP*"", ""P*"", ""Y""]"
7,RST 190 Seminar,RST,190,"","","",4,,,9,0.6526086956521739,0.5017391304347827,23,202110,200310,"[""A"", ""A-"", ""A+"", ""B-""]"
8,RST 130 Topics Rel Studies,RST,130,17,"","",4,,,9,0.16719999999999996,0.33880000000000005,25,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""D"", ""D-"", ""F"", ""I""]"
9,RST 150 Religious Ethics,RST,150,"","","",4,,,4,0.3973076923076923,0.17461538461538464,26,202101,200501,"[""A"", ""A-"", ""A+"", ""B-"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
10,RST 199 Special Study,RST,199,"","","",5,,,12,-0.45999999999999996,-0.925,2,201701,200101,"[""B"", ""NG"", ""P""]"
11,RST 170 Buddhism,RST,170,"","","",4,,,8,0.6307692307692307,0.4392307692307692,13,202103,200203,"[""A"", ""A-"", ""A+"", ""B+"", ""NP*"", ""P*""]"
12,RST 140 Christian Theology,RST,140,"","","",4,,,8,0.5426923076923077,0.491923076923077,26,202001,200101,"[""A"", ""A-"", ""B+"", ""C"", ""C+"", ""I"", ""NP*""]"
13,RST 160 Intro Islamic Thought,RST,160,"","","",4,,,0,0.2566666666666667,0.2085714285714286,21,202101,200803,"[""A"", ""A-"", ""B"", ""B+"", ""P*""]"
14,RST 115 Mysticism,RST,115,"","","",4,,,9,0.23550000000000004,0.11850000000000002,20,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""I"", ""NP*"", ""P*""]"
15,RST 135 The Bible & Film,RST,135,"","","",4,,,10,0.38733333333333336,0.26333333333333336,15,202103,200303,"[""A"", ""A-"", ""B"", ""B+"", ""C"", ""NP*"", ""P*""]"
16,RST 125 Dead Sea Scrolls,RST,125,18,"","",4,,,8,0.09818181818181819,-0.07,11,202001,200103,"[""A"", ""A-"", ""B"", ""B+"", ""I"", ""P*""]"
17,RST 001 Survey of Religion,RST,001,"","","",4,,,3,0.611271676300578,0.4860693641618497,173,202010,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
18,RST 021 The Bible,RST,021,"","","",4,,,5,1.006470588235294,0.6982352941176471,17,202005,200010,"[""A"", ""A-"", ""A+"", ""P*""]"
Overall Average,"","","","","","","","","","",0.3784329427756396,0.26549400367655857
