Curriculum,LJPN - Japanese (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0302
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,JPN 101 Early Lit In Engl,JPN,101,"","","",4,,,7,-0.3012658227848101,-0.2836708860759494,79,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
2,JPN 102 Mid-Era Lit In Engl,JPN,102,"","","",4,,,8,0.004044943820224745,-0.08505617977528088,89,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*"", ""Y""]"
3,JPN 103 Modern Lit In Engl,JPN,103,"","","",4,,,8,-0.02999999999999998,-0.27203883495145625,103,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
4,JPN 111 Modern Japanese,JPN,111,11,"","",4,,,7,-0.3843434343434343,-0.30828282828282827,99,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
5,JPN 112 Modern Japanese,JPN,112,4,"","",4,,,8,-0.3218279569892473,-0.3760215053763441,93,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""NP*"", ""P*""]"
6,JPN 113 Modern Japanese,JPN,113,5,"","",4,,,9,-0.02936507936507934,-0.034285714285714274,63,202103,200103,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
7,JPN 151 Japanese Linguistics,JPN,151,14,"","",4,,,8,0.49154929577464784,0.4756338028169014,71,202201,201501,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+"", ""F"", ""P*""]"
8,JPN 136 Readings in Newspapers,JPN,136,6,"","",4,,,10,0.4576666666666666,0.287,30,202110,200101,"[""A"", ""A+"", ""D-""]"
9,JPN 106 Japanese Culture & Film,JPN,106,"","","",4,,,9,0.0638888888888889,-0.015000000000000022,36,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*""]"
10,JPN 155 Intro Japanese Folklore,JPN,155,"","","",4,,,7,0.34425925925925926,0.2645679012345679,162,202201,201610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""P*""]"
11,JPN 006 Intermed Japanese,JPN,006,12,"","",5,,,6,0.10087500000000002,-0.04862499999999999,160,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""NP*"", ""P*""]"
12,JPN 005 Intermed Japanese,JPN,005,13,"","",5,,,5,0.06366666666666672,0.0003333333333333529,150,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""NP*"", ""P*""]"
13,JPN 004 Intermed Japanese,JPN,004,14,"","",5,,,4,0.03027322404371585,-0.022896174863387967,183,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
14,JPN 003 Elementary Japanese,JPN,003,15,"","",5,,,3,0.2230448717948718,0.0673717948717949,312,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""NP*"", ""P*""]"
15,JPN 002 Elementary Japanese,JPN,002,16,"","",5,,,2,0.03574626865671643,-0.009626865671641786,402,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
16,JPN 001 Elementary Japanese,JPN,001,"","","",5,,,1,0.033380062305295964,-0.0067912772585669535,642,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.04884955339964896,-0.022961777142785765
