Curriculum,LCMN - Communication (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,09.0100
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,LIN 001 Intro Linguistics,LIN,001,"","","",4,,,4,0.10367759944173065,0.08463363572923936,1433,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""NG"", ""B+"", ""A""]"
2,CMN 001 Intro Public Speaking,CMN,001,"","","",4,,,4,0.2659681881051176,0.21903872752420472,1446,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
3,PHI 012 Intro to Symbol Logic,PHI,012,"","","",4,,,6,-0.12615664845173044,-0.2105646630236794,549,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
4,PSC 001 General Psychology,PSC,001,"","","",4,,,2,0.5078982209350434,0.48787339677285896,2417,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
5,SOC 001 Intro Sociology,SOC,001,"","","",5,,,4,0.10489451476793252,0.08622362869198315,948,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
6,STA 013 Elementary Statistics,STA,013,"","","",4,,,3,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
7,CMN 101 Communication Theories,CMN,101,"","","",4,,,6,-0.09316363636363635,-0.21319999999999997,275,202201,200310,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
8,CMN 102 Empirical Methods Commun,CMN,102,6,"","",4,,,8,-0.009180722891566273,-0.07421686746987952,415,202201,200310,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
9,CMN 120 Interpersonal Commun,CMN,120,"","","",4,,,8,-0.19121351766513056,-0.333778801843318,651,202201,201601,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,CMN 140 Intro Mass Communication,CMN,140,"","","",4,,,8,0.23736418511066398,0.21690140845070424,497,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
11,CMN 172 Interpersonal Technolog,CMN,172,"","","",4,,,9,-0.15236641221374045,-0.2779770992366412,262,202110,200310,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
12,CMN 136 Organizational Communic,CMN,136,"","","",4,,,8,-0.07022935779816514,-0.260894495412844,436,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
13,CMN 141 Media Effects,CMN,141,"","","",4,,,10,-0.2556637168141593,-0.4183185840707965,113,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
14,CMN 174 Social Media,CMN,174,"","","",4,,,8,0.024440433212996406,-0.013971119133573994,277,202201,201501,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
15,CMN 122 Nonverbal Communication,CMN,122,"","","",4,,,8,-0.5195886075949367,-0.6129746835443037,316,202201,201601,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
16,CMN 112 Theories of Persuasion,CMN,112,"","","",4,,,8,-0.02421052631578947,-0.08927977839335179,361,202201,201601,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",-0.025818816393129676,-0.10466493589927124
