Curriculum,LITA - Italian (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0902
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ITA 003 Elementary Italian,ITA,003,10,"","",5,,,3,0.3649484536082474,0.27402061855670107,97,202103,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""F"", ""P*""]"
2,"ITA 101 Adv Conv, Comp & Gram",ITA,101,12,"","",4,,,6,0.3746153846153846,0.32461538461538453,13,202110,200010,"[""A"", ""A-"", ""A+"", ""B+""]"
3,ITA 105 Intro to Italian Lit,ITA,105,12,"","",4,,,8,0.4866666666666668,0.14166666666666675,6,202103,200101,"[""A"", ""A-"", ""B"", ""NP*"", ""P*""]"
4,ITA 145S Special Topics in Lit,ITA,145S,12,"","",4,,,7,0.3467857142857143,-0.09785714285714282,28,201910,200503,"[""A"", ""A-"", ""B"", ""B+"", ""P*""]"
5,ITA 104 Italian Translation & Style,ITA,104,12,"","",4,,,10,0.3058333333333333,0.09722222222222221,36,202010,200503,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""P*""]"
6,ITA 121S New Italian Cinema,ITA,121S,15,"","",4,,,7,0.4804545454545454,0.02272727272727275,22,201910,201110,"[""A"", ""A-"", ""A+"", ""B+"", ""P*""]"
7,ITA 145 Special Topics,ITA,145,12,"","",4,,,10,0.6035714285714285,0.3807142857142857,14,202103,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B+""]"
8,ITA 108S Comtemp Cult/Soc,ITA,108S,"","","",4,,,7,0.5425,0.0,4,201910,200403,"[""A""]"
9,ITA 108 Contemp Italian Culture,ITA,108,"","","",4,,,9,0.2463636363636364,0.2313636363636364,22,202201,200010,"[""A"", ""A-"", ""B"", ""B+"", ""C-"", ""P*""]"
10,ITA 002 Elementary Italian,ITA,002,11,"","",5,,,2,0.23407407407407405,0.25503703703703706,135,202201,200101,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""P*""]"
11,ITA 001 Elementary Italian,ITA,001,"","","",5,,,1,0.569245283018868,0.6001415094339623,212,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
12,ITA 009 Reading Italian,ITA,009,13,"","",4,,,6,0.3864285714285715,0.17428571428571432,14,202103,200103,"[""A"", ""A-"", ""B"", ""B+""]"
13,ITA 005 Interm Italian,ITA,005,14,"","",4,,,5,0.15833333333333333,0.23611111111111105,18,202101,200101,"[""A"", ""A+"", ""B"", ""B+"", ""C"", ""P*""]"
14,ITA 004 Intermediate Italian,ITA,004,1,"","",4,,,4,0.41857142857142854,0.5104761904761904,21,202010,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""P*""]"
15,FMS 001 Intro to Film Studies,FMS,001,"","","",4,,,5,0.2968976897689769,0.16085808580858088,606,202010,200410,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
Overall Average,"","","","","","","","","","",0.38768596953961393,0.22075883947744152
