Curriculum,LDES - Design (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,50.0401
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,DES 001 Introduction to Design,DES,001,"","","",4,,,1,0.32560723514211887,0.30291989664082686,774,202110,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D-"", ""B+"", ""A""]"
2,DES 014 Design Drawing,DES,014,"",1,"",4,,,4,0.16608247422680414,0.15302405498281788,291,202201,200105,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
3,DES 015 Form & Color,DES,015,"",1,"",4,,,4,0.25967359050445105,0.22899109792284866,337,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
4,DES 016 Graphics & The Computer,DES,016,"",1,"",4,,,4,0.10828337874659404,0.04716621253405998,367,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,UWP 011 Pop Sci & Technol Wrtng,UWP,011,"","","",4,,,8,0.21661971830985913,0.10007042253521128,142,202110,201101,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
6,DES 040C Design Aesthetics/Exper,DES,040C,"","","",4,,,5,0.41697768762677484,0.32659229208924945,493,202201,201503,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""F"", ""I"", ""NP*"", ""P*""]"
7,DES 040B Ideologies of Design,DES,040B,"","","",4,,,6,0.32433155080213905,0.1554010695187166,187,202003,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
8,"DES 040A Energy,Materials,Design",DES,040A,"","","",4,,,5,-0.38857142857142857,-0.4238961038961039,154,202110,200105,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,DES 145 History Visual Comm,DES,145,1,"","",4,,,7,0.13344827586206895,0.11149425287356322,87,202201,200503,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C-"", ""C+"", ""P*""]"
10,DES 127A Sustainable Design,DES,127A,1,"","",4,,,8,0.26048076923076924,0.14923076923076925,104,202201,201001,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""P*""]"
11,DES 143 History of Fashion,DES,143,"","","",4,,,8,0.27164502164502163,0.14995670995670995,231,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*""]"
12,DES 115 Letterforms & Type,DES,115,1;2;3;4,"","",4,,,7,0.11294392523364487,0.013224299065420577,214,202201,200505,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
13,DES 117 Interactive Media I,DES,117,1;2;3;4,"","",4,,,7,0.08394904458598729,-0.007197452229299347,157,202201,200705,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
14,DES 151 Type in Motion,DES,151,1;2;3;4,"","",4,,,8,0.10932835820895526,0.0009701492537313839,134,202201,200901,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
15,DES 116 VisCom: Graphic Design,DES,116,1;2;3;4;12,"","",4,,,10,0.18022900763358782,0.06076335877862597,131,202201,200610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""NP*"", ""P*""]"
16,DES 112 UI/UX Design,DES,112,1;2;3;4,"","",4,,,10,0.21764705882352942,0.1119485294117647,272,202201,201901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
17,DES 149 Information Design,DES,149,"","","",4,,,9,0.28595744680851065,0.14680851063829792,94,202103,201403,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D"", ""I"", ""NP*"", ""P*""]"
18,DES 144 History of Interior Arch,DES,144,"","","",4,,,9,-0.16560344827586207,-0.2713793103448276,116,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.16216831480797367,0.07533826438679908
