Curriculum,LCGS - Cognitive Science (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,30.2501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,LIN 001 Intro Linguistics,LIN,001,"","","",4,,,4,0.10367759944173065,0.08463363572923936,1433,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""NG"", ""B+"", ""A""]"
2,CGS 001 Intro Cognitive Science,CGS,001,"","","",4,,,5,-0.059930715935334854,-0.09207852193995379,433,202201,201710,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
3,PSC 001 General Psychology,PSC,001,"","","",4,,,2,0.5078982209350434,0.48787339677285896,2417,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
4,PHI 013G Minds Brains Comp w/Disc,PHI,013G,"","","",4,,,6,0.09478821362799264,0.0636279926335175,543,202201,201303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,PHI 012 Intro to Symbol Logic,PHI,012,"","","",4,,,6,-0.12615664845173044,-0.2105646630236794,549,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
6,PSC 041 Research Meth in Psych,PSC,041,3,"","",4,,,4,0.21611431870669745,0.22489030023094692,1732,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
7,STA 013 Elementary Statistics,STA,013,"","","",4,,,4,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
8,PSC 100 Cognitive Psychology,PSC,100,3;6,"","",4,,,7,0.36022277227722777,0.237483498349835,1212,202110,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
9,PHI 112 Intermed Symbolic Logic,PHI,112,5,"","",4,,,8,-0.11790983606557376,-0.2795901639344262,244,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
10,CGS 107 Neuroeconomics&Decisions,CGS,107,13;7,"","",4,,,10,0.2806578947368421,0.17684210526315788,76,202110,201901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""P*""]"
11,LIN 177 Computational Linguistic,LIN,177,"","","",4,,,9,0.02571428571428572,-0.026714285714285704,350,202201,200401,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NG"", ""NP*"", ""P*""]"
12,PSC 101 Intro to Bio Psych,PSC,101,3;6,"","",4,,,7,0.2902777777777778,0.15044294294294294,1332,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""D-"", ""B+"", ""A""]"
13,PSC 135 Cognitive Neuroscience,PSC,135,3;6,"","",4,,,8,0.5061275272161742,0.36830482115085533,1286,202201,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
14,PSC 140 Developmental Psychology,PSC,140,3;6,"","",4,,,8,0.41397379912663756,0.2904454148471616,1145,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.16284886795379042,0.08653305670565915
