Curriculum,LNAS - Native American Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0202
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,NAS 133B Ethnohist MexCentAm 2000,NAS,133B,"","","",4,,,0,0.65,0.24102564102564103,39,202003,201101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C+"", ""I"", ""NP*"", ""P*""]"
2,NAS 185 NA Lit Perform,NAS,185,"","","",4,,,0,0.7816666666666667,0.87,6,202001,201201,"[""A""]"
3,NAS 184 Cont Mex Indigenous Lit,NAS,184,5,"","",4,,,0,0.5021428571428572,0.2997619047619048,42,202201,200306,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""C"", ""F"", ""P*""]"
4,NAS 188 Topics In Na Lit,NAS,188,"","","",4,,,10,0.5399999999999999,0.3593333333333334,15,202110,200010,"[""A"", ""A-"", ""A+"", ""B-"", ""B+""]"
5,NAS 001 Intro To NAS,NAS,001,"","","",4,,,1,0.28332493702770783,0.28463476070528965,397,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
6,NAS 010 N A Experience,NAS,010,"","","",4,,,4,0.32333333333333336,0.19842592592592592,108,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""P*"", ""RW""]"
7,NAS 005 Intro to NA Lit,NAS,005,"","","",4,,,2,0.530788643533123,0.5103785488958991,634,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
8,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,7,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
9,NAS 130A NAS Ethno History,NAS,130A,"","","",4,,,9,0.5541463414634146,0.37682926829268293,41,202010,200010,"[""A"", ""A-"", ""B-"", ""B+"", ""C"", ""C-"", ""I"", ""P*""]"
10,NAS 157 NA Religion & Phil,NAS,157,"","","",4,,,11,0.6117241379310344,0.48241379310344834,29,202101,200201,"[""A"", ""A-"", ""A+"", ""B+"", ""C"", ""F"", ""NP*"", ""P*""]"
11,NAS 180 NA Women,NAS,180,"","","",4,,,3,0.34121212121212124,0.1554545454545455,33,202107,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F""]"
12,NAS 119 Intro Fed Indian Law,NAS,119,"","","",4,,,9,0.6375,0.2475,36,202103,201110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""NP*"", ""P*""]"
13,NAS 130C Nat Amer Ethno-Hist,NAS,130C,"","","",4,,,9,0.4245,0.08849999999999998,40,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
14,NAS 107 Learning Nat Am Langs,NAS,107,"","","",4,,,10,0.6231578947368421,0.6618421052631579,38,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""NP*""]"
Overall Average,"","","","","","","","","","",0.5303578842107707,0.38671998673242935
